2012 rank,City,State,2012 estimate,2010 Census
1,New York,New York,"8,336,697","8,175,133"
,,,,
2,Los Angeles,California,"3,857,799","3,792,621"
,,,,
3,Chicago,Illinois,"2,714,856","2,695,598"
,,,,
4,Houston,Texas,"2,160,821","2,100,263"
,,,,
5,Philadelphia,Pennsylvania,"1,547,607","1,526,006"
,,,,
6,Phoenix,Arizona,"1,488,750","1,445,632"
,,,,
7,San Antonio,Texas,"1,382,951","1,327,407"
,,,,
8,San Diego,California,"1,338,348","1,307,402"
,,,,
9,Dallas,Texas,"1,241,162","1,197,816"
,,,,
10,San Jose,California,"982,765","945,942"
,,,,
11,Austin,Texas,"842,592","790,390"
,,,,
12,Jacksonville,Florida,"836,507","821,784"
,,,,
13,Indianapolis,Indiana,"834,852","820,445"
,,,,
14,San Francisco,California,"825,863","805,235"
,,,,
15,Columbus,Ohio,"809,798","787,033"
,,,,
16,Fort Worth,Texas,"777,992","741,206"
,,,,
17,Charlotte,North Carolina,"775,202","731,424"
,,,,
18,Detroit,Michigan,"701,475","713,777"
,,,,
19,El Paso,Texas,"672,538","649,121"
,,,,
20,Memphis,Tennessee,"655,155","646,889"
,,,,
21,Boston,Massachusetts,"636,479","617,594"
,,,,
22,Seattle,Washington,"634,535","608,660"
,,,,
23,Denver,Colorado,"634,265","600,158"
,,,,
24,Washington,District of Columbia,"632,323","601,723"
,,,,
25,Nashville,Tennessee,"624,496","601,222"
,,,,
26,Baltimore,Maryland,"621,342","620,961"
,,,,
27,Louisville,Kentucky,"605,110","597,337"
,,,,
28,Portland,Oregon,"603,106","583,776"
,,,,
29,Oklahoma,Oklahoma,"599,199","579,999"
,,,,
30,Milwaukee,Wisconsin,"598,916","594,833"
,,,,
31,Las Vagas,Nevada,"596,424","583,756"
,,,,
32,Albuquerque,New Mexico,"555,417","545,852"
,,,,
33,Tucson,Arizona,"524,295","520,116"
,,,,
34,Fresno,California,"505,882","494,665"
,,,,
35,Sacramento,California,"475,516","466,488"
,,,,
